API,oil/day,Date
05123454300000,36.03,6/1/21
05123454300000,33.97,7/1/21
05123454300000,29.00,8/1/21
05123454300000,26.40,9/1/21
05123454300000,27.39,10/1/21
05123454300000,24.77,11/1/21
05123454300000,23.97,12/1/21
05123454260000,368.56,8/1/19
05123454260000,523.33,9/1/19
05123454260000,524.52,10/1/19
05123454260000,450.47,11/1/19
05123454260000,367.03,12/1/19
05123454260000,254.77,1/1/20
05123454260000,203.41,2/1/20
05123454260000,178.71,3/1/20
05123454260000,144.00,4/1/20
05123454260000,132.52,5/1/20
05123454260000,113.70,6/1/20
05123454260000,99.55,7/1/20
05123454260000,70.84,8/1/20
05123454260000,73.80,9/1/20
05123454260000,65.94,10/1/20
05123454260000,58.50,11/1/20
05123454260000,55.84,12/1/20
05123454260000,51.58,1/1/21
05123454260000,47.50,2/1/21
05123454260000,40.26,3/1/21
05123454260000,42.60,4/1/21
05123454260000,37.03,5/1/21
05123454260000,35.53,6/1/21
05123454260000,32.16,7/1/21
05123454260000,30.13,8/1/21
05123454260000,27.27,9/1/21
05123454260000,27.71,10/1/21
05123454260000,26.33,11/1/21
05123454260000,26.48,12/1/21
05123454530000,517.42,8/1/19
05123454530000,503.88,9/1/19
05123454530000,572.20,10/1/19
05123454530000,521.03,11/1/19
05123454530000,379.90,12/1/19
05123454530000,317.26,1/1/20
05123454530000,263.24,2/1/20
05123454530000,191.06,3/1/20
05123454530000,156.67,4/1/20
05123454530000,140.10,5/1/20
05123454530000,118.40,6/1/20
05123454530000,106.10,7/1/20
05123454530000,93.84,8/1/20
05123454530000,82.30,9/1/20
05123454530000,78.10,10/1/20
05123454530000,70.67,11/1/20
05123454530000,66.42,12/1/20
05123454530000,65.48,1/1/21
05123454530000,61.64,2/1/21
05123454530000,52.74,3/1/21
05123454530000,48.07,4/1/21
05123454530000,39.61,5/1/21
05123454530000,23.58,6/1/21
05123454530000,40.97,7/1/21
05123454530000,37.16,8/1/21
05123454530000,32.60,9/1/21
05123454530000,33.58,10/1/21
05123454530000,31.67,11/1/21
05123454530000,31.00,12/1/21
05123454510000,290.46,8/1/19
05123454510000,408.43,9/1/19
05123454510000,552.48,10/1/19
05123454510000,491.53,11/1/19
05123454510000,322.97,12/1/19
05123454510000,251.48,1/1/20
05123454510000,227.52,2/1/20
05123454510000,210.55,3/1/20
05123454510000,193.80,4/1/20
05123454510000,131.74,5/1/20
05123454510000,144.80,6/1/20
05123454510000,130.00,7/1/20
05123454510000,115.35,8/1/20
05123454510000,101.97,9/1/20
05123454510000,93.87,10/1/20
05123454510000,83.30,11/1/20
05123454510000,26.28,12/1/20
05123454510000,53.06,1/1/21
05123454510000,39.46,2/1/21
05123454510000,67.81,3/1/21
05123454510000,73.63,4/1/21
05123454510000,60.90,5/1/21
05123454510000,56.27,6/1/21
05123454510000,52.48,7/1/21
05123454510000,46.97,8/1/21
05123454510000,44.70,9/1/21
05123454510000,42.90,10/1/21
05123454510000,41.27,11/1/21
05123454510000,39.94,12/1/21
05123454500000,460.43,8/1/19
